Caminho,URL,Status da Página,Possui PDFs,Quantidade de PDFs
Prograd > Sobre > Apresentacoes,https://prograd.ufabc.edu.br/prograd/apresentacoes,OK,Sim,7
Prograd > Sobre > Relatorios,https://prograd.ufabc.edu.br/prograd/relatorios,OK,Sim,35
Prograd > Perfis > Aluno,https://prograd.ufabc.edu.br/aluno,OK,Sim,5
Prograd > Perfis > Docente,https://prograd.ufabc.edu.br/docente,OK,Sim,10
Prograd > Perfis > Coordenador,https://prograd.ufabc.edu.br/coordenador,OK,Sim,21
Prograd > Perfis > Tecnico,https://prograd.ufabc.edu.br/tecnico-administrativo,OK,Sim,9
Prograd > Calendarios,https://prograd.ufabc.edu.br/calendarios,OK,Sim,8
Prograd > Outros > Matriculas,https://prograd.ufabc.edu.br/matriculas,OK,Sim,8
Prograd > Outros > SISU,https://prograd.ufabc.edu.br/sisu,OK,Sim,30
Prograd > Outros > Planejamento,https://prograd.ufabc.edu.br/planejamento-anual,OK,Sim,13
Prograd > Outros > Aluno Especial,https://prograd.ufabc.edu.br/aluno-especial,OK,Sim,5
Prograd > Outros > Transferencia Externa,https://prograd.ufabc.edu.br/transf-externa,OK,Não,0
Prograd > Outros > Transferencia Obrigatoria,https://prograd.ufabc.edu.br/transferencia-obrigatoria,OK,Sim,1
Prograd > Outros > Egressos,https://prograd.ufabc.edu.br/egressos-de-cursos-interdisciplinares,OK,Sim,6
Prograd > Outros > Mobilidade UFABC Nacional,https://prograd.ufabc.edu.br/mobilidade-academica-para-alunos-da-ufabc-nacional,OK,Sim,1
Prograd > Outros > Mobilidade Outras IES,https://prograd.ufabc.edu.br/mobilidade-academica-para-pessoas-de-outras-ies,OK,Sim,5
Prograd > Outros > PEC-G,https://prograd.ufabc.edu.br/pec-g,OK,Sim,5
Prograd > Outros > PROEP,https://prograd.ufabc.edu.br/proep,OK,Sim,8
Prograd > Outros > Vagas Olimpicas,https://prograd.ufabc.edu.br/vagas-olimpicas-principal,OK,Sim,8
Prograd > Outros > Auditorios e Salas,https://prograd.ufabc.edu.br/auditorios-e-salas,OK,Não,0
Prograd > Outros > Laboratorios,https://prograd.ufabc.edu.br/laboratorios-academicos,OK,Não,0
Prograd > Comissoes > COMFOR > Home,https://prograd.ufabc.edu.br/comfor,OK,Sim,10
Prograd > Comissoes > COMFOR > Sobre,https://prograd.ufabc.edu.br/comfor/sobre-o-comite,OK,Sim,3
Prograd > Comissoes > COMFOR > Editais,https://prograd.ufabc.edu.br/comfor/sobre-o-comite/editais,OK,Sim,12
Prograd > Comissoes > Comissao de Graduacao > Membros,https://prograd.ufabc.edu.br/comissao-de-graduacao/membros,OK,Sim,2
Prograd > Comissoes > Comissao de Graduacao > Calendarios,https://prograd.ufabc.edu.br/comissao-de-graduacao/calendarios,OK,Sim,4
Prograd > Comissoes > Comissao de Graduacao > Regimento Interno,https://prograd.ufabc.edu.br/comissao-de-graduacao/regimento-interno,OK,Sim,1
Prograd > Comissoes > Comissao de Graduacao > Registros das Sessoes,https://prograd.ufabc.edu.br/comissao-de-graduacao/registros-das-sessoes,OK,Sim,5
Prograd > Comissoes > Comissao de Graduacao > Atos Decisorios,https://prograd.ufabc.edu.br/comissao-de-graduacao/atos-decisorios,OK,Não,0
Prograd > Comissoes > Comissao de Graduacao > Resolucoes,https://prograd.ufabc.edu.br/comissao-de-graduacao/resolucoes,OK,Sim,1
Prograd > Comissoes > Comissao de Graduacao > Mocoes,https://prograd.ufabc.edu.br/comissao-de-graduacao/mocoes,OK,Não,0
Prograd > Comissoes > Comissao de Graduacao > Recomendacoes,https://prograd.ufabc.edu.br/comissao-de-graduacao/recomendacoes,OK,Não,0
Prograd > Comissoes > Comissao de Graduacao > Portarias,https://prograd.ufabc.edu.br/comissao-de-graduacao/portarias,OK,Sim,2
Prograd > Comissoes > Comissao de Graduacao > Retificacoes,https://prograd.ufabc.edu.br/comissao-de-graduacao/retificacoes,OK,Sim,2
Prograd > Comissoes > Comissao Disciplinar Discente,https://prograd.ufabc.edu.br/comissao-disciplinar-discente,OK,Sim,2
